#{"t_start": 1709507487.822368, "env_id": "None"}
r,l,t
-66.258497,9,39.666585
-65.18688,10,39.676586
-58.505422,11,39.687586
-62.368942,10,39.696586
-63.085242,10,39.705586
-65.655784,10,39.715586
-74.857758,7,39.894586
-67.228703,9,39.974586
-63.402988,10,40.058586
-69.721859,9,40.135586
-67.317228,9,40.229585
-66.751569,9,40.313586
-64.813361,10,40.407585
-63.261464,10,40.501586
-64.278626,10,40.593592
-71.477956,8,40.667586
-68.041901,9,40.748586
-62.290827,11,40.842586
-62.018784,11,40.944586
-54.978127,12,41.060586
-62.982208,10,41.158586
-62.105975,10,41.262587
-73.770717,8,41.345587
-58.617234,11,41.453586
-57.757584,11,41.557585
-72.530922,8,41.630586
-75.124735,7,41.691586
-60.345573,11,41.791586
-63.33709,10,41.879586
-66.52363,9,41.974586
-73.048471,8,42.051586
-67.614849,9,42.138592
-70.058321,8,42.216586
-71.316347,8,42.290586
-69.168497,9,42.369586
-58.922217,11,42.474586
-71.188953,8,42.548586
-60.292755,11,42.646585
-66.584887,9,42.728585
-65.333255,10,42.822586
-65.453673,10,42.912585
-65.336294,10,43.007585
-65.832602,9,43.087586
-64.734452,10,43.177586
-63.238041,10,43.301586
-55.685034,12,43.429585
-63.883819,10,43.53197
-65.356214,10,43.62697
-58.205989,11,43.72297
-63.387877,11,43.820969
-59.188121,11,43.92397
-75.415762,7,43.992969
-63.464636,10,44.084969
-70.959835,8,44.152969
-75.747651,7,44.212969
-62.909694,10,44.298969
-53.613651,12,44.398969
-72.706899,8,44.466969
-72.788272,8,44.549976
-59.904887,11,44.650969
-66.864323,9,44.733969
-62.100003,10,44.823969
-64.28839,10,44.909969
-67.31929,9,44.993969
-70.777768,8,45.068969
-71.947317,8,45.14297
-72.040069,8,45.217969
-77.037697,7,45.289969
-66.309418,9,45.37797
-70.498184,9,45.467978
-70.837547,8,45.547969
-70.336612,8,45.627969
-70.935317,8,45.709975
-71.896026,9,45.798969
-63.141721,10,45.894969
-58.401709,11,46.006969
-67.983742,9,46.09697
-60.890591,11,46.200969
-78.371044,7,46.267969
-63.343848,10,46.36397
-55.835957,13,46.49297
-68.237578,9,46.58897
-67.341073,9,46.679969
-66.405196,9,46.775969
-65.888345,9,46.874969
-79.937113,6,46.937972
-71.162146,8,47.021969
-66.583966,9,47.122972
-70.691007,9,47.216969
-71.256407,9,47.309969
-71.185904,8,47.383969
-63.143703,10,47.477969
-72.488084,8,47.572972
-59.814164,11,47.694969
