#{"t_start": 1709072142.2623208, "env_id": "None"}
r,l,t
-10000.0,1,29.890554
-10034.265,4,29.942554
-10012.436,2,29.967553
-10183.457,10,30.106555
-10089.623,5,30.173554
-10024.177,3,30.214554
-10090.379,7,30.308553
-10043.23,4,30.364553
-10017.574,2,30.391554
-10466.218,24,30.751554
-10053.614,4,30.807554
-10049.085,3,30.848553
-10047.211,4,30.901554
-10102.425,9,31.022553
-10025.813,2,31.048554
-10017.814,2,31.077553
-10062.817,6,31.161554
-10037.157,3,31.201554
-10000.0,1,31.214554
-10023.249,5,31.287554
-10008.041,2,31.312553
-10011.638,2,31.339555
-10019.072,2,31.366554
-10020.1875,3,31.408553
-10012.782,2,31.434553
-10169.002,12,31.592553
-10012.7295,2,31.617553
-10016.511,3,31.659553
-10051.945,4,31.711553
-10127.918,8,31.818553
-10045.554,4,31.872555
-10071.985,5,31.942564
-10097.658,7,32.046553
-10014.499,2,32.072571
-10000.0,1,32.086555
-10019.365,3,32.134553
-10123.258,9,32.262553
-10057.16,5,32.334554
-10019.591,2,32.364564
-10033.714,3,32.408553
-10000.0,1,32.423554
-10011.681,2,32.452554
-10012.713,3,32.494554
-10015.288,2,32.524555
-10344.227,21,32.818553
-10040.419,3,32.860555
-10077.063,7,32.961561
-10022.886,3,33.010565
-10139.336,11,33.165565
-10071.7705,7,33.266554
-10023.799,3,33.316554
-10037.681,6,33.403553
-10020.756,4,33.457554
-10019.48,2,33.483554
-10014.761,2,33.514554
-10472.986,25,33.880554
-10166.746,9,34.015553
-10036.791,3,34.062553
-10006.213,2,34.091553
-10000.0,1,34.109554
-10019.602,2,34.141554
-10022.564,3,34.185557
-10000.0,1,34.201554
-10000.0,1,34.218553
-10017.66,2,34.249553
-10036.661,4,34.308554
-10000.0,1,34.324554
-10030.24,5,34.403554
-10097.136,6,34.494553
-10069.6045,4,34.553553
-10285.916,18,34.827554
-10497.112,25,35.221554
-10036.031,5,35.295561
-10000.0,1,35.310554
-10268.039,17,35.575554
-10025.14,5,35.654554
-10000.0,1,35.669554
-10000.0,1,35.684554
-10016.382,2,35.713554
-10000.0,1,35.729553
-10038.816,6,35.812554
-10383.144,18,36.081553
-10065.6875,7,36.186554
-10000.0,1,36.202554
-10079.386,6,36.289554
-10022.29,2,36.319555
-10000.0,1,36.335554
-10000.0,1,36.350554
-10007.929,2,36.379554
-10062.022,5,36.451553
-10000.0,1,36.466554
-10221.659,15,36.696554
-10000.0,1,36.714554
-10027.466,5,36.789554
-10146.371,10,36.940554
-10054.281,5,37.016553
-10030.2,4,37.069554
-10016.629,5,37.140555
-10043.087,6,37.219553
-10000.0,1,37.235553
-10000.0,1,37.249553
-10097.552,8,37.361553
-11111.978,55,38.196566
-10018.433,2,38.229553
-10220.199,12,38.393553
-10022.788,2,38.421553
-10019.892,2,38.454556
-10146.483,8,38.572572
-10084.742,9,38.700553
-10000.0,1,38.714554
-10031.601,3,38.759553
-10349.52,19,39.025553
-10046.198,5,39.093554
-10000.0,1,39.108554
-10000.0,1,39.123555
-10144.138,13,39.309553
-10527.549,26,39.686553
-10030.793,5,39.753554
-10165.999,14,39.951553
-10179.105,10,40.095553
-10042.371,6,40.189554
-10029.2295,3,40.234554
-10040.424,5,40.308554
-10010.897,2,40.343554
-10203.853,14,40.552554
-10047.192,5,40.629554
-10013.495,4,40.692553
-10023.367,2,40.724554
-10000.0,1,40.739554
-10045.396,4,40.797553
-10050.291,4,40.855568
-10110.015,6,40.950555
-10034.423,4,41.023554
-10053.984,4,41.075553
-10124.202,10,41.205554
-10053.527,6,41.284552
-10073.94,7,41.384065
-10024.175,3,41.424072
-10073.935,7,41.517593
-10050.48,5,41.584594
-10093.511,6,41.668593
-10075.578,6,41.746596
-10054.409,5,41.811599
-10047.643,4,41.863597
-10000.0,1,41.876597
-10038.457,4,41.928598
-10000.0,1,41.941598
-10129.8125,6,42.042598
-10071.712,6,42.138597
-10039.696,5,42.217597
-10000.0,1,42.233598
-10011.834,2,42.268599
-10048.803,4,42.329594
-10049.32,6,42.420594
-10060.197,4,42.476594
-10051.936,5,42.555598
-10000.0,1,42.570596
-10033.185,4,42.633594
-10070.875,6,42.725594
-10000.0,1,42.741594
-10011.732,2,42.772594
-10119.389,7,42.877594
-10090.365,6,42.965599
-10015.022,2,42.997594
-10052.833,5,43.064594
-10000.0,1,43.077593
-10131.872,7,43.184593
-10000.0,1,43.201593
-10062.501,6,43.292594
-10042.153,5,43.365593
-10055.222,4,43.423593
-10022.24,2,43.454593
-10000.0,1,43.467593
-10079.757,6,43.558594
-10047.89,4,43.615593
-10054.7295,4,43.674599
-10047.611,6,43.760594
-10045.986,6,43.844594
-10028.191,3,43.883606
-10028.838,4,43.947599
-10031.082,3,43.990594
-10076.0205,7,44.092594
-10037.5205,7,44.191593
-10034.597,3,44.236593
-10025.723,4,44.289599
-10092.6455,6,44.372594
-10000.0,1,44.386595
-10034.278,5,44.451593
-10045.993,6,44.532593
-10022.597,2,44.561593
-10000.0,1,44.575599
-10019.973,3,44.615594
-10051.265,4,44.671594
-10000.0,1,44.685594
