#{"t_start": 1709071621.5749865, "env_id": "None"}
r,l,t
-10039.818,4,8.209996
-10023.371,2,8.235991
-10018.434,2,8.249991
-10000.0,1,8.262991
-10017.821,2,8.272991
-10015.117,2,8.287991
-10000.0,1,8.299992
-10075.05,5,8.307986
-10019.055,2,8.339991
-10019.538,2,8.356991
-10093.089,5,8.371991
-10049.379,6,8.401991
-10000.0,1,8.435991
-10055.981,6,8.450991
-10052.194,4,8.486991
-10008.137,2,8.513991
-10020.787,2,8.527995
-10038.033,3,8.542992
-10060.105,5,8.561985
-10022.333,2,8.595991
-10024.606,2,8.609999
-10047.788,4,8.627998
-10000.0,1,8.652991
-10000.0,1,8.656991
-10067.97,5,8.670991
-10082.663,5,8.702991
-10067.205,5,8.736991
-10018.391,2,8.764991
-10058.661,4,8.778991
-10065.037,5,8.807987
-10018.449,2,8.837985
-10077.498,5,8.854087
-10038.69,3,8.882991
-10042.378,4,8.906991
-10022.794,2,8.931993
-10024.747,2,8.943992
-10047.943,4,8.957985
-10019.547,2,8.985991
-10063.965,5,9.000991
-10095.204,5,9.030992
-10010.813,2,9.064991
-10033.608,3,9.081991
-10012.405,2,9.098991
-10069.908,5,9.114991
-10018.244,2,9.146991
-10019.702,3,9.162991
-10017.426,2,9.177991
-10041.921,3,9.191998
-10092.469,5,9.217992
-10038.816,5,9.251991
-10000.0,1,9.283991
-10088.755,6,9.290994
-10000.0,1,9.325994
-10065.702,4,9.337991
-10053.166,5,9.364983
-10044.08,4,9.394992
-10000.0,1,9.418991
-10041.4375,4,9.431991
-10040.394,3,9.455991
-10043.129,3,9.471991
-10042.831,3,9.492992
-10040.167,4,9.513994
-10074.101,6,9.54199
-10021.767,2,9.576991
-10018.237,2,9.588991
-10057.8955,5,9.604991
-10041.654,3,9.637992
-10000.0,1,9.652991
-10071.07,5,9.664991
-10043.148,4,9.695991
-10000.0,1,9.718991
-10000.0,1,9.727996
-10000.0,1,9.731992
-10016.153,2,9.744992
-10017.164,2,9.755994
-10039.123,3,9.769991
-10000.0,1,9.784991
-10000.0,1,9.796992
-10069.878,6,9.804996
-10043.564,3,9.842991
-10040.393,5,9.863991
-10009.763,2,9.896991
-10025.393,2,9.909994
-10021.077,2,9.921991
-10000.0,1,9.935991
-10063.112,4,9.950991
-10009.175,2,9.975996
-10008.285,2,9.988991
-10014.083,2,10.002985
-10035.155,3,10.024001
-10050.454,4,10.048985
-10000.0,1,10.078984
-10065.525,4,10.089984
-10036.826,3,10.11899
-10021.933,2,10.138991
-10015.786,2,10.152992
-10000.0,1,10.165991
-10044.843,3,10.179991
-10047.13,4,10.198991
-10016.779,2,10.222992
-10020.596,2,10.236991
-10000.0,1,10.251991
-10012.051,2,10.262992
-10054.087,4,10.277994
-10066.168,6,10.303991
-10026.981,2,10.342992
-10097.515,6,10.358985
-10063.0625,6,10.397991
-10062.752,5,10.432991
-10000.0,1,10.464991
-10000.0,1,10.472991
-10032.38,4,10.479991
-10000.0,1,10.502991
-10038.297,3,10.515994
-10053.016,4,10.533991
-10000.0,1,10.560992
-10058.8125,4,10.571986
-10038.834,3,10.598991
-10008.01,2,10.615991
-10030.668,3,10.629992
-10000.0,1,10.650991
-10029.575,3,10.659991
-10029.376,5,10.680991
-10080.423,5,10.710991
-10058.889,5,10.745991
-10025.35,3,10.776991
-10078.821,5,10.797991
-10021.245,2,10.826991
-10034.716,4,10.840989
-10000.0,1,10.867991
-10025.966,2,10.877991
-10019.53,2,10.889992
-10000.0,1,10.902992
-10000.0,1,10.909992
-10036.347,4,10.921991
-10000.0,1,10.946991
-10079.307,6,10.954991
-10042.844,5,10.994991
-10000.0,1,11.028005
-10056.359,4,11.038984
-10120.137,7,11.068061
-10077.445,5,11.114991
-10025.358,2,11.143991
-10077.978,6,11.159993
-10000.0,1,11.196999
-10015.259,2,11.208994
-10081.668,6,11.225006
-10053.171,5,11.261992
-10057.812,5,11.290989
-10057.12,6,11.330991
-10061.825,4,11.366991
-10022.129,3,11.389991
-10038.397,3,11.408985
-10051.479,5,11.432991
-10020.537,2,11.461991
-10000.0,1,11.475
-10000.0,1,11.483992
-10000.0,1,11.489991
-10000.0,1,11.497992
-10000.0,1,11.502991
-10000.0,1,11.511992
-10037.152,4,11.519991
-10033.743,3,11.544991
-10056.621,4,11.569984
-10000.0,1,11.599062
-10000.0,1,11.606984
-10015.475,2,11.618991
-10000.0,1,11.631984
-10000.0,1,11.636992
-10000.0,1,11.647993
-10082.98,6,11.655992
-10028.131,3,11.697985
-10080.132,5,11.724986
-10038.297,3,11.758985
-10000.0,1,11.779991
-10018.811,2,11.785992
-10018.874,4,11.801991
-10000.0,1,11.829991
-10027.681,4,11.843001
-10040.699,3,11.870992
-10050.18,3,11.892986
-10033.956,3,11.920983
-10015.631,2,11.943983
-10000.0,1,11.960071
-10022.307,2,11.970984
-10000.0,1,11.99
-10000.0,1,11.995985
-10068.581,4,12.008986
-10075.121,7,12.046986
-10114.1875,7,12.098984
-10044.094,4,12.147984
-10047.271,3,12.178066
-10020.528,2,12.196991
-10022.347,2,12.215991
-10048.75,3,12.232991
-10024.355,2,12.256992
-10032.041,3,12.272991
-10022.783,2,12.292993
-10017.509,2,12.307998
-10021.182,3,12.322992
-10063.603,6,12.349992
-10000.0,1,12.389991
-10000.0,1,12.394994
-10013.637,2,12.405992
-10045.5205,3,12.421991
-10060.486,5,12.444991
-10017.549,2,12.483984
-10050.55,6,12.501992
-10018.457,2,12.541988
-10042.669,3,12.558987
-10027.4,4,12.584991
-10044.004,3,12.619984
-10015.471,2,12.649992
-10000.0,1,12.666995
-10018.594,2,12.672992
-10049.293,4,12.690984
-10017.345,2,12.723992
-10039.302,5,12.745991
-10038.477,3,12.782992
-10036.454,3,12.802991
-10000.0,1,12.824998
-10045.155,4,12.83599
-10060.363,4,12.864991
-10026.0625,2,12.889994
-10000.0,1,12.905999
-10040.984,3,12.917994
-10041.043,3,12.937986
-10052.498,5,12.966992
-10035.505,3,13.000993
-10000.0,1,13.028001
-10031.985,3,13.03499
-10021.14,2,13.061985
-10000.0,1,13.075985
-10054.055,4,13.086993
-10010.999,2,13.116984
-10000.0,1,13.132991
-10037.676,4,13.146992
-10000.0,1,13.175003
-10055.682,5,13.182992
-10000.0,1,13.219991
-10010.402,2,13.225995
-10000.0,1,13.241986
-10076.209,7,13.254992
-10015.94,2,13.297991
-10073.374,6,13.314991
-10017.626,2,13.353992
-10039.166,3,13.367985
-10016.746,2,13.388992
-10015.92,2,13.402991
-10073.286,5,13.419991
-10050.467,4,13.452991
-10026.826,3,13.479991
-10000.0,1,13.497992
-10028.962,3,13.505991
-10000.0,1,13.526985
-10077.19,6,13.535991
-10043.288,5,13.572993
-10000.0,1,13.605991
-10031.766,3,13.612991
-10065.407,5,13.633991
-10087.469,7,13.666991
-10056.59,5,13.714991
-10033.171,3,13.742992
-10032.584,3,13.764994
-10000.0,1,13.779993
-10035.387,4,13.792012
-10000.0,1,13.814992
-10047.588,5,13.821991
-10060.269,5,13.859992
-10021.8,2,13.887991
-10018.387,2,13.899991
-10043.925,3,13.913991
-10056.148,4,13.935991
-10000.0,1,13.962991
-10042.401,3,13.968991
-10039.18,4,13.992011
-10017.332,2,14.016991
-10014.226,2,14.031991
-10013.99,2,14.047991
-10000.0,1,14.062987
-10095.066,6,14.072994
-10000.0,1,14.110991
-10000.0,1,14.118991
-10016.593,2,14.123991
-10054.351,5,14.139991
-10073.483,5,14.176991
-10069.15,5,14.205991
-10000.0,1,14.235991
-10093.042,5,14.243991
-10025.509,4,14.278991
-10071.271,7,14.305992
-10000.0,1,14.345993
-10000.0,1,14.352993
-10055.234,5,14.362992
-10000.0,1,14.394991
-10043.657,3,14.400992
-10061.223,5,14.422991
-10019.443,2,14.452991
-10036.6045,3,14.466994
-10023.695,2,14.487992
-10017.32,2,14.501992
-10050.159,3,14.517992
-10020.746,2,14.534992
-10007.139,2,14.547993
-10029.616,3,14.561991
-10020.577,2,14.584991
-10077.696,5,14.600989
-10000.0,1,14.628991
-10000.0,1,14.636991
-10020.068,2,14.643992
-10000.0,1,14.655991
-10009.054,2,14.665991
-10039.984,3,14.681992
-10015.272,3,14.704991
-10031.897,3,14.727409
-10000.0,1,14.743363
-10068.824,5,14.753367
-10038.2705,3,14.782139
-10026.189,2,14.80107
-10065.6455,4,14.81407
-10082.151,7,14.84007
-10016.817,2,14.877071
-10027.04,3,14.88907
-10012.225,3,14.908073
-10029.766,4,14.926071
-10085.697,6,14.95107
-10000.0,1,14.984075
-10055.345,4,14.99407
-10036.837,3,15.01707
-10000.0,1,15.03407
-10037.098,3,15.043071
-10000.0,1,15.059071
-10033.859,3,15.068075
-10000.0,1,15.088071
-10022.303,3,15.09807
-10000.0,1,15.112075
-10000.0,1,15.12007
-10024.47,2,15.12707
-10061.409,6,15.14307
-10027.461,4,15.17607
-10041.417,4,15.19907
-10000.0,1,15.222075
-10000.0,1,15.23207
-10055.167,4,15.23807
-10025.371,2,15.26007
-10000.0,1,15.273074
-10000.0,1,15.281071
-10079.341,5,15.28807
-10000.0,1,15.31507
-10000.0,1,15.321075
-10014.334,2,15.33007
-10024.941,3,15.343071
-10000.0,1,15.357075
-10055.086,4,15.36807
-10049.086,5,15.392065
-10028.982,3,15.41807
-10000.0,1,15.436071
-10023.461,2,15.445066
-10052.6,5,15.46007
-10033.783,3,15.48907
-10000.0,1,15.504075
-10020.641,2,15.514072
-10020.172,2,15.52707
-10000.0,1,15.537071
-10000.0,1,15.542067
-10000.0,1,15.551071
-10057.338,5,15.558074
-10022.693,2,15.58907
-10000.0,1,15.60007
-10054.919,4,15.609065
-10000.0,1,15.63007
-10000.0,1,15.63707
-10014.856,2,15.642066
-10032.059,3,15.658075
-10045.335,3,15.67707
-10033.95,4,15.694071
-10036.049,3,15.718071
-10015.708,2,15.73907
-10043.712,3,15.75607
-10068.689,4,15.775072
-10085.667,5,15.80007
-10027.473,2,15.83107
-10000.0,1,15.84107
-10019.4,3,15.846071
-10000.0,1,15.86507
-10030.133,3,15.87207
-10049.559,3,15.892064
-10000.0,1,15.906073
-10000.0,1,15.91507
-10000.0,1,15.920075
-10040.536,5,15.93207
-10068.051,4,15.958076
-10054.471,4,15.98407
-10054.416,6,16.01307
-10058.233,4,16.049071
-10069.343,5,16.07307
-10045.266,4,16.11007
-10000.0,1,16.13407
-10059.469,5,16.14107
-10000.0,1,16.169071
-10031.6045,4,16.176064
-10021.394,2,16.20207
-10046.194,3,16.21507
