#{"t_start": 1709066150.362886, "env_id": "None"}
r,l,t
-10000.0,1,9.80327
-10041.937,4,9.812269
-10000.0,1,9.814269
-10039.156,3,9.82227
-10000.0,1,9.824302
-10020.233,3,9.832274
-10041.452,3,9.839268
-10044.584,4,9.849268
-10020.579,2,9.853273
-10035.128,3,9.860268
-10015.325,2,9.865269
-10036.711,6,9.879267
-10096.057,7,9.896273
-10000.0,1,9.89827
-10000.0,1,9.901269
-10045.511,3,9.907285
-10017.496,2,9.911271
-10000.0,1,9.913271
-10015.966,2,9.918267
-10087.813,9,9.938268
-10024.133,2,9.944275
-10040.037,3,9.951274
-10000.0,1,9.954267
-10019.286,2,9.960268
-10045.98,4,9.970279
-10000.0,1,9.973269
-10063.495,4,9.983269
-10017.926,2,9.988269
-10030.243,4,9.999268
-10000.0,1,10.001269
-10021.062,6,10.019268
-10000.0,1,10.021268
-10019.562,2,10.027268
-10029.19,4,10.04127
-10000.0,1,10.044269
-10021.73,2,10.050268
-10055.607,4,10.060268
-10018.031,2,10.065268
-10000.0,1,10.068268
-10000.0,1,10.071268
-10104.027,7,10.091268
-10061.03,6,10.105268
-10040.731,3,10.112275
-10024.628,4,10.122268
-10063.92,4,10.132268
-10080.345,6,10.148268
-10017.819,2,10.153269
-10000.0,1,10.155279
-10013.123,2,10.160267
-10070.824,5,10.171268
-10000.0,1,10.174268
-10019.935,2,10.179269
-10000.0,1,10.181269
-10077.897,5,10.19327
-10000.0,1,10.196268
-10071.999,5,10.211268
-10000.0,1,10.214271
-10000.0,1,10.217268
-10047.581,4,10.22927
-10106.682,7,10.254267
-10000.0,1,10.260267
-10017.164,2,10.266268
-10062.2,5,10.282276
-10033.925,3,10.290268
-10063.257,4,10.302268
-10067.962,5,10.316278
-10000.0,1,10.31827
-10015.694,2,10.323269
-10000.0,1,10.32627
-10062.7,5,10.33727
-10075.77,6,10.35227
-10000.0,1,10.355269
-10019.651,2,10.360271
-10062.779,5,10.372273
-10000.0,1,10.375272
-10064.593,6,10.39027
-10088.433,7,10.406273
-10000.0,1,10.409273
-10023.526,2,10.413271
-10032.798,4,10.421271
-10017.711,2,10.426272
-10073.994,5,10.438271
-10000.0,1,10.441272
-10000.0,1,10.443271
-10033.761,3,10.451271
-10000.0,1,10.453271
-10000.0,1,10.455271
-10000.0,1,10.458272
-10085.099,6,10.472271
-10000.0,1,10.475273
-10021.292,2,10.480271
-10000.0,1,10.483271
-10000.0,1,10.485271
-10038.488,3,10.494274
-10040.034,4,10.503271
-10040.366,4,10.514274
-10019.804,2,10.518271
-10000.0,1,10.521271
-10016.599,2,10.527272
-10019.216,2,10.532272
-10024.706,2,10.536273
-10022.464,3,10.54427
-10000.0,1,10.546271
-10053.121,4,10.555271
-10000.0,1,10.558273
-10043.094,4,10.569269
-10091.128,6,10.584287
-10012.79,2,10.588268
-10046.261,4,10.598268
-10030.605,3,10.605269
-10040.22,3,10.612267
-10035.78,3,10.619269
-10059.747,4,10.629268
-10057.579,6,10.644369
-10026.391,3,10.651271
-10039.108,4,10.661268
-10000.0,1,10.665354
-10033.96,4,10.678267
-10020.714,2,10.686268
-10019.902,3,10.700267
-10030.422,3,10.715268
-10019.263,3,10.730268
-10000.0,1,10.733267
-10019.905,3,10.742269
-10011.197,2,10.747268
-10000.0,1,10.750269
-10000.0,1,10.753269
-10103.195,9,10.778269
-10044.627,7,10.796271
-10019.764,2,10.801268
-10048.849,4,10.81127
-10017.038,2,10.816273
-10059.861,6,10.830268
-10028.445,3,10.837268
-10054.076,4,10.847269
-10020.338,2,10.852268
-10000.0,1,10.854269
-10063.005,4,10.862269
-10054.474,5,10.874268
-10000.0,1,10.876268
-10030.557,4,10.886267
-10057.838,6,10.900268
-10000.0,1,10.902268
-10034.476,3,10.909268
-10062.739,4,10.918267
-10000.0,1,10.920268
-10073.339,10,10.943268
-10021.485,2,10.947268
-10000.0,1,10.949268
-10018.024,2,10.954268
-10023.345,3,10.961268
-10022.716,2,10.965267
-10035.774,3,10.972268
-10060.04,5,10.984268
-10067.439,6,10.998268
-10000.0,1,11.000268
-10020.982,2,11.005267
-10044.309,4,11.014267
-10030.144,4,11.022268
-10046.336,3,11.029268
-10034.649,3,11.036268
-10057.289,4,11.046268
-10050.382,6,11.060267
-10058.82,4,11.068268
-10044.796,4,11.077268
-10063.437,6,11.090267
-10018.201,2,11.094268
-10025.401,2,11.099268
-10074.477,5,11.108268
-10016.946,2,11.112268
-10043.277,3,11.118268
-10044.324,3,11.124284
-10065.849,5,11.134268
-10000.0,1,11.135268
-10000.0,1,11.138268
-10039.3125,3,11.144268
-10036.734,4,11.151268
-10000.0,1,11.153268
-10050.065,4,11.161267
-10016.36,2,11.165267
-10011.166,2,11.169267
-10028.023,2,11.173268
-10037.664,3,11.179267
-10000.0,1,11.181268
-10019.272,2,11.184268
-10019.816,2,11.188267
-10069.268,5,11.199268
-10032.893,3,11.205268
-10035.542,6,11.218267
-10050.125,3,11.224282
-10020.564,2,11.228267
-10000.0,1,11.230267
-10016.024,2,11.234267
-10054.922,5,11.244268
-10000.0,1,11.246267
-10038.647,4,11.253267
-10036.298,3,11.261268
-10014.31,2,11.266267
-10061.307,5,11.278268
-10024.527,2,11.282267
-10062.769,5,11.293268
-10013.637,3,11.300268
-10044.885,6,11.314268
-10043.511,4,11.323273
-10000.0,1,11.326268
-10023.143,2,11.330267
-10016.699,2,11.334267
-10055.522,4,11.343268
-10057.707,4,11.352268
-10026.86,3,11.359269
-10056.982,5,11.370268
-10059.729,4,11.379267
-10015.557,2,11.383267
-10022.919,3,11.390268
-10051.227,4,11.400267
-10000.0,1,11.402268
-10028.37,2,11.406267
-10044.528,4,11.416269
-10000.0,1,11.418268
-10044.551,3,11.425269
-10049.014,9,11.444268
-10036.262,3,11.451267
-10014.487,2,11.455267
-10047.417,3,11.462268
-10060.627,6,11.476267
-10019.641,2,11.480268
-10010.896,2,11.484267
-10019.919,2,11.488267
-10019.841,2,11.493268
-10031.6045,6,11.505267
-10076.269,6,11.518268
-10078.774,5,11.530295
-10028.1455,3,11.53627
-10019.623,2,11.541271
-10000.0,1,11.54327
-10015.444,2,11.54727
-10084.279,6,11.561271
-10013.486,2,11.56527
-10000.0,1,11.56727
-10000.0,1,11.571269
-10000.0,1,11.575268
-10074.616,7,11.594269
-10000.0,1,11.597376
-10048.533,3,11.60627
-10000.0,1,11.609268
-10000.0,1,11.612377
-10044.067,4,11.625274
-10014.55,2,11.632269
-10000.0,1,11.635269
-10000.0,1,11.637268
-10000.0,1,11.641277
-10029.0,3,11.651269
-10068.444,7,11.673268
-10000.0,1,11.67628
-10000.0,1,11.679269
-10000.0,1,11.682269
-10000.0,1,11.686267
-10029.684,3,11.694269
-10047.336,3,11.703269
-10000.0,1,11.706268
-10024.687,2,11.712279
-10017.226,2,11.718268
-10049.289,3,11.726269
-10061.025,4,11.73728
-10036.78,3,11.746268
-10038.938,3,11.754269
-10014.497,2,11.760268
-10053.01,4,11.769269
-10000.0,1,11.77127
-10095.878,6,11.786268
-10070.382,6,11.802268
-10000.0,1,11.804271
-10000.0,1,11.807295
-10000.0,1,11.809272
-10061.554,5,11.821267
-10000.0,1,11.82427
-10000.0,1,11.827268
-10063.127,7,11.844268
-10013.569,2,11.850267
-10026.386,2,11.854268
-10021.119,2,11.859269
-10090.43,10,11.883267
-10060.944,4,11.893279
-10020.891,2,11.898268
-10000.0,1,11.900266
-10016.503,2,11.904279
-10000.0,1,11.907268
-10106.376,8,11.930268
-10025.234,4,11.941278
-10037.086,4,11.952268
-10046.0205,4,11.963279
-10000.0,1,11.967267
-10000.0,1,11.969269
-10024.563,2,11.97627
-10047.156,4,11.987268
-10057.86,8,12.009269
-10027.311,3,12.017278
-10045.266,4,14.210268
-10021.878,2,14.215267
-10052.047,5,14.227268
-10068.796,7,14.246268
-10037.987,3,14.253267
-10019.862,2,14.258268
-10000.0,1,14.261268
-10005.691,2,14.266267
-10000.0,1,14.268267
-10014.244,2,14.273273
-10038.784,3,14.282267
-10035.884,3,14.289267
