#{"t_start": 1709111915.0203152, "env_id": "None"}
r,l,t
-0.364444,2,6.658767
-0.398744,3,6.66375
-0.35,1,6.66475
-0.602873,5,6.67275
-0.48615,4,6.67975
-0.35,1,6.68075
-0.35,1,6.68275
-0.379259,2,6.68675
-0.35,1,6.68775
-0.409021,2,6.69175
-0.35,1,6.692752
-0.470177,5,6.70175
-0.379583,2,6.70575
-0.485945,3,6.712752
-0.397712,2,6.717838
-0.35,1,6.720832
-0.35,1,6.722848
-0.406127,3,6.730819
-0.488103,4,6.741808
-0.35,1,6.743811
-0.415338,2,6.748822
-0.788498,6,6.763751
-0.35,1,6.765751
-0.48417,3,6.771754
-0.36107,2,6.77575
-0.401085,3,6.782751
-0.665377,4,6.790751
-0.35,1,6.792751
-0.35,1,6.794751
-0.35,1,6.796754
-0.35,1,6.797755
-0.35,1,6.799755
-0.35,1,6.801754
-0.438846,3,6.806753
-0.35,1,6.808753
-0.40537,5,6.818754
-0.399941,2,6.822753
-0.527758,4,6.829753
-0.49138,3,6.834754
-0.39041,2,6.837754
-0.35,1,6.839753
-0.396176,3,6.845764
-0.606012,7,6.856755
-0.785103,8,6.872755
-0.35,1,6.873755
-0.41672,2,6.876755
-0.396636,2,6.880754
-0.435167,2,6.884755
-0.51901,5,6.892755
-0.35,1,6.893754
-0.584947,8,6.908756
-0.35,1,6.909755
-0.834594,7,6.922755
-0.35,1,6.924755
-0.391952,3,6.929755
-0.391445,2,6.932755
-0.35,1,6.934755
-0.557304,4,6.941755
-0.43926,5,6.950755
-0.466485,4,6.957756
-0.35,1,6.959755
-0.375126,4,6.966755
-0.35,1,6.968775
-0.380624,3,6.973756
-0.37138,2,6.976756
-0.468242,4,6.983766
-0.534594,6,6.993755
-0.35,1,6.995761
-0.547896,5,7.002756
-0.367924,2,7.005757
-0.390662,2,7.008756
-0.410053,3,7.013756
-0.398019,2,7.017758
-0.435555,6,7.027757
-0.395778,3,7.033756
-0.40866,3,7.038756
-0.482556,4,7.045777
-0.35,1,7.048756
-0.576862,7,7.060756
-0.8253,6,7.071756
-0.384438,5,7.080756
-0.554281,5,7.089756
-0.563181,5,7.098756
-0.35,1,7.100756
-0.478145,8,7.114756
-0.35,1,7.116757
-0.668041,5,7.128829
-0.35,1,7.130814
-0.416493,2,7.135754
-0.535872,6,7.146753
-0.482723,4,7.153754
-0.35,1,7.154753
-0.35,1,7.156753
-0.35,1,7.157753
-0.475926,3,7.162753
-0.448834,4,7.169754
-0.35,1,7.171754
-0.559208,6,7.181753
-0.540246,8,7.194756
-0.35,1,7.195754
-0.55037,3,7.200754
-0.37714,2,7.203754
-0.663594,8,7.216754
-0.442894,4,7.223754
-0.547389,4,7.230754
-0.401176,2,7.233754
-0.66986,6,7.243755
-0.384826,4,7.250754
-0.456674,4,7.258754
-0.375835,5,7.268754
-0.416204,2,7.271755
-0.35,1,7.273754
-0.472157,4,7.279754
-0.447356,5,7.289754
-0.35,1,7.291754
-0.449626,4,7.300754
-0.441032,3,7.304755
-0.668994,6,7.314754
-0.431769,2,7.319755
-0.425891,3,7.325755
-1.0613,11,7.350841
-0.354117,2,7.355822
-0.554542,5,7.365825
-0.585385,5,7.376843
-0.3658,2,7.381815
-0.35,1,7.383827
-0.625397,4,7.39283
-0.719955,5,7.403838
-0.35,1,7.406761
-0.462251,2,7.41082
-0.35,1,7.412852
-0.35,1,7.414826
-0.387728,3,7.420818
-0.35,1,7.422819
-0.35,1,7.424818
-0.35,1,7.42782
-0.662174,8,7.444758
-0.35,1,7.446825
-0.570792,11,7.469824
-0.35,1,7.471822
-0.385013,2,7.476822
-0.385844,2,7.480824
-0.478918,5,7.490756
-0.35,1,7.492756
-0.390275,2,7.495762
