#{"t_start": 1709071840.7191947, "env_id": "None"}
r,l,t
-10017.309,2,2.153003
-10045.62,7,2.166003
-10075.925,7,2.178012
-10000.0,1,2.180003
-10024.064,2,2.185003
-10017.643,2,2.189003
-10000.0,1,2.191003
-10047.174,4,2.200003
-10000.0,1,2.202014
-10019.122,2,2.206003
-10022.993,3,2.212005
-10000.0,1,2.214001
-10000.0,1,2.216
-10016.441,2,2.22
-10019.081,2,2.222999
-10017.305,2,2.226
-10045.365,5,2.234999
-10036.147,3,2.239998
-10017.38,2,2.242999
-10031.085,3,2.248028
-10000.0,1,2.249999
-10017.826,2,2.252998
-10044.293,3,2.257999
-10050.933,4,2.263999
-10020.077,3,2.269999
-10000.0,1,2.270999
-10000.0,1,2.272999
-10034.98,3,2.276998
-10019.368,2,2.279999
-10021.79,2,2.284
-10000.0,1,2.285998
-10000.0,1,2.286998
-10020.752,2,2.289999
-10020.628,2,2.294
-10071.998,6,2.304
-10041.145,3,2.308999
-10000.0,1,2.309998
-10015.493,2,2.312999
-10009.395,2,2.316999
-10080.506,7,2.327998
-10012.174,2,2.331999
-10000.0,1,2.334001
-10000.0,1,2.334999
-10036.59,3,2.339998
-10013.177,4,2.345998
-10034.679,4,2.354001
-10000.0,1,2.354999
-10014.219,3,2.359998
-10015.603,2,2.362998
-10000.0,1,2.365014
-10000.0,1,2.366999
-10035.81,4,2.372998
-10017.853,2,2.375998
-10064.27,5,2.384999
-10045.887,7,2.394998
-10059.47,4,2.402999
-10000.0,1,2.404999
-10072.662,6,2.414
-10056.988,4,2.420999
-10000.0,1,2.422999
-10000.0,1,2.424
-10044.32,3,2.428999
-10034.233,5,2.438067
-10044.958,5,2.446061
-10056.706,4,2.454005
-10000.0,1,2.455003
-10089.439,7,2.467004
-10094.933,11,2.485003
-10033.021,3,2.489003
-10065.227,4,2.495003
-10045.959,3,2.501004
-10064.6045,5,2.509003
-10000.0,1,2.511003
-10015.656,5,2.519003
-10075.54,7,2.530003
-10028.756,3,2.535998
-10022.314,2,2.539003
-10024.656,3,2.544007
-10019.226,2,2.547003
-10000.0,1,2.550003
-10025.555,2,2.553003
-10000.0,1,2.555003
-10000.0,1,2.556003
-10019.487,2,2.559003
-10000.0,1,2.561003
-10000.0,1,2.562003
-10053.926,4,2.570003
-10000.0,1,2.571003
-10035.704,3,2.576003
-10022.44,2,2.579003
-10061.55,5,2.587003
-10038.64,4,2.594005
-10058.703,4,2.600004
-10023.787,2,2.604004
-10038.344,4,2.610007
-10000.0,1,2.611003
-10025.589,3,2.617003
-10054.175,4,2.623006
-10067.017,5,2.630997
-10000.0,1,2.633004
-10061.136,4,2.641004
-10015.69,2,2.644005
-10000.0,1,2.646003
-10017.955,2,2.650004
-10043.25,3,2.654004
-10049.023,4,2.663003
-10000.0,1,2.66501
-10000.0,1,2.666003
-10054.613,4,2.673003
-10016.988,2,2.676003
-10000.0,1,2.678003
-10000.0,1,2.679003
-10025.118,4,2.687004
-10027.208,3,2.692005
-10023.965,3,2.696003
-10028.199,3,2.702007
-10048.559,3,2.707003
-10000.0,1,2.708003
-10050.09,4,2.715005
-10027.063,4,2.722005
-10000.0,1,2.723003
-10036.92,4,2.729003
-10022.659,3,2.735006
-10000.0,1,2.737003
-10019.084,2,2.740003
-10039.37,4,2.746003
-10010.859,2,2.749996
-10022.013,3,2.756004
-10000.0,1,2.757003
-10000.0,1,2.759003
-10021.783,2,2.762003
-10058.847,6,2.774004
-10000.0,1,2.775003
-10012.661,2,2.778003
-10018.102,2,2.78201
-10079.351,7,2.793997
-10026.424,3,2.799995
-10035.089,3,2.804995
-10041.642,3,2.810995
-10062.884,6,2.821065
-10013.647,2,2.824083
-10000.0,1,2.826073
-10000.0,1,2.827069
-10041.853,4,2.834074
-10075.668,10,2.851005
-10000.0,1,2.852998
-10000.0,1,2.854007
-10000.0,1,2.856003
-10000.0,1,2.857003
-10000.0,1,2.859003
-10019.5205,2,2.862006
-10000.0,1,2.864006
-10000.0,1,2.86601
-10020.573,2,2.870003
-10017.153,2,2.873003
-10000.0,1,2.874004
-10013.386,2,2.878006
-10050.034,4,2.884003
-10018.034,2,2.887003
-10000.0,1,2.889003
-10000.0,1,2.890003
-10054.8,4,2.897003
-10000.0,1,2.899002
-10020.337,2,2.902007
-10061.039,5,2.910003
-10018.596,2,2.913003
-10067.199,6,2.923003
-10050.31,4,2.930003
-10028.022,4,2.936003
-10022.284,2,2.940006
-10018.329,2,2.944005
-10020.362,2,2.947003
-10079.197,6,2.957003
-10000.0,1,2.959003
-10000.0,1,2.961003
-10043.486,5,2.969996
-10040.183,4,2.976003
-10022.158,2,2.979003
-10034.356,3,2.985003
-10051.337,4,2.991003
-10031.889,3,2.996003
-10000.0,1,2.997003
-10087.277,7,3.009003
-10040.316,3,3.013003
-10000.0,1,3.016009
-10000.0,1,3.018004
-10077.456,6,3.027003
-10026.663,2,3.030996
-10000.0,1,3.033004
-10014.846,2,3.036003
-10000.0,1,3.038003
-10000.0,1,3.039003
-10073.931,7,3.051005
-10023.874,2,3.054004
-10053.945,4,3.060003
-10040.718,5,3.069003
-10020.317,2,3.072007
-10099.214,6,3.082009
-10062.538,4,3.089003
-10057.962,4,3.095003
-10050.397,4,3.102007
-10025.958,3,3.107003
-10000.0,1,3.108003
-10021.73,2,3.112004
-10019.748,2,3.114997
-10062.623,4,3.122007
-10000.0,1,3.123995
-10051.083,5,3.133004
-10035.512,4,3.139003
-10022.37,2,3.142004
-10017.635,3,3.147004
-10040.525,3,3.152008
-10036.845,3,3.157003
-10050.658,4,3.164006
-10052.498,4,3.171003
-10009.386,2,3.174005
-10038.923,3,3.179012
-10031.435,3,3.185003
-10016.026,2,3.188003
-10072.24,5,3.196003
-10022.943,3,3.202007
-10067.094,6,3.211003
-10000.0,1,3.213003
-10000.0,1,3.214015
-10000.0,1,3.217004
-10039.317,3,3.222007
-10012.637,2,3.225003
-10015.243,2,3.229003
-10017.966,3,3.234007
-10035.488,3,3.239003
-10021.153,2,3.242006
-10000.0,1,3.244004
-10035.018,3,3.249006
-10029.728,3,3.254004
-10000.0,1,3.255003
-10015.355,2,3.258003
-10060.707,5,3.267003
-10000.0,1,3.268003
-10028.815,3,3.273008
-10021.033,2,3.276003
-10000.0,1,3.278003
-10000.0,1,3.280003
-10000.0,1,3.282011
-10000.0,1,3.283003
-10000.0,1,3.285003
-10041.155,4,3.292007
-10022.862,3,3.296003
-10040.842,6,3.307003
-10036.193,3,3.311003
-10000.0,1,3.313003
-10000.0,1,3.315012
-10000.0,1,3.317003
-10063.83,5,3.325003
-10000.0,1,3.326003
-10061.216,6,3.336003
-10041.637,3,3.341003
-10000.0,1,3.342006
-10038.888,3,3.347003
-10041.792,4,3.354005
-10029.725,7,3.365006
-10043.434,3,3.370003
-10000.0,1,3.372006
-10058.169,4,3.378003
-10023.66,2,3.380997
-10083.926,7,3.393003
-10038.284,4,3.401997
-10020.069,2,3.406003
-10019.536,2,3.409003
-10025.264,2,3.413003
-10000.0,1,3.414998
-10000.0,1,3.417004
-10065.82,5,3.427003
-10000.0,1,3.429003
-10048.662,5,3.439003
-10000.0,1,3.441003
-10052.6045,11,3.462005
-10015.303,2,3.466007
-10040.731,3,3.472006
-10027.214,4,3.480006
-10000.0,1,3.482006
-10066.363,7,3.495996
-10023.661,2,3.499997
-10054.505,5,3.507995
-10019.232,2,3.511996
-10036.684,4,3.518996
-10024.262,3,3.522996
-10000.0,1,3.524996
-10061.187,4,3.532009
-10020.01,2,3.534996
-10018.121,2,3.537996
-10000.0,1,3.539996
-10023.8955,2,3.542996
-10069.234,6,3.552995
-10027.464,2,3.555996
-10000.0,1,3.557996
-10025.511,3,3.561996
-10040.642,3,3.567996
-10024.003,3,3.572996
-10043.821,3,3.576996
-10000.0,1,3.578995
-10000.0,1,3.579996
-10000.0,1,3.582996
-10060.202,4,3.588996
-10000.0,1,3.590996
-10019.684,2,3.593996
-10028.609,2,3.596996
-10055.989,6,3.606995
-10000.0,1,3.608996
-10076.051,5,3.617996
-10044.972,4,3.623996
-10000.0,1,3.625995
-10000.0,1,3.626995
-10000.0,1,3.628996
-10094.165,10,3.644995
-10055.659,6,3.655996
-10000.0,1,3.656996
-10057.321,4,3.662995
-10058.2295,4,3.670996
-10019.551,2,3.673996
-10041.593,4,3.679995
-10036.642,3,3.685996
-10000.0,1,3.687996
-10000.0,1,3.688996
-10034.529,3,3.693996
-10025.59,4,3.700996
-10000.0,1,3.702996
-10057.27,5,3.710996
-10057.857,4,3.717996
-10045.154,4,3.723996
-10090.686,6,3.733996
-10000.0,1,3.735996
-10000.0,1,3.736996
-10044.228,3,3.741996
-10000.0,1,3.742996
-10043.584,4,3.750996
-10053.735,5,3.757996
-10022.801,2,3.760996
-10014.546,2,3.765009
-10000.0,1,3.766996
-10041.191,4,3.772996
-10000.0,1,3.774996
-10000.0,1,3.775995
-10042.628,3,5.438929
-10038.672,3,5.442929
-10000.0,1,5.44393
-10155.434,11,5.464948
-10000.0,1,5.466936
-10077.279,6,5.476936
-10018.398,2,5.479939
-10034.115,3,5.485999
-10050.859,7,5.498996
-10000.0,1,5.501005
-10012.685,2,5.505005
-10092.462,7,5.516931
-10018.204,2,5.520937
-10000.0,1,5.522938
-10040.835,3,5.527941
-10000.0,1,5.529937
-10047.033,6,5.540937
-10033.553,3,5.545937
-10019.137,2,5.549937
-10099.805,6,5.559939
-10019.889,3,5.565932
-10019.078,2,5.569937
-10021.778,2,5.572937
-10058.28,6,5.583937
-10000.0,1,5.584937
-10060.816,5,5.593937
-10054.606,4,5.601937
-10024.672,2,5.605937
-10044.623,3,5.610937
-10065.738,7,5.623937
-10029.742,4,5.63093
-10000.0,1,5.632944
-10000.0,1,5.634942
-10046.082,3,5.639937
-10000.0,1,5.641937
-10038.599,3,5.646937
-10023.497,2,5.650938
-10049.335,3,5.655937
-10065.841,6,5.666937
-10000.0,1,5.668937
-10083.534,6,5.678936
-10000.0,1,5.680949
-10074.577,6,5.690937
-10059.511,4,5.698934
-10014.264,2,5.702941
-10082.934,5,5.710937
-10046.908,4,5.718931
-10109.613,9,5.735937
-10063.745,6,5.745937
-10017.849,2,5.749937
-10096.633,9,5.765939
-10055.978,5,5.774942
-10029.209,3,5.779937
-10019.257,3,5.784939
-10045.509,4,5.791937
-10038.743,3,5.796931
-10000.0,1,5.79993
-10053.54,4,5.806937
