#{"t_start": 1709064728.0692904, "env_id": "None"}
r,l,t
15.649143,23,20.868658
3.1215968,9,20.920658
0.7758467,5,20.946657
41.880016,69,21.208668
60.870068,109,21.56967
16.082735,33,21.661656
38.8698,58,21.848659
52.463745,128,22.098662
84.509674,128,22.237657
77.714264,128,22.384659
60.136745,128,22.521183
38.690277,128,22.657256
88.30956,128,22.79018
63.62686,128,22.924179
61.07119,128,23.057179
51.8638,128,23.21418
59.706413,128,23.381181
24.757357,52,23.550185
1.7214215,7,23.571179
32.867237,68,23.79318
43.01981,93,24.130179
61.13508,121,24.54619
14.813382,26,24.645184
30.884926,44,24.90418
20.01921,46,25.046179
4.02996,8,25.067178
24.60558,41,25.192179
30.546982,50,25.356179
13.892197,31,25.44018
31.161064,56,25.613179
22.97279,42,25.746179
8.435378,20,25.81218
10.849317,28,25.90618
12.751177,36,26.022186
62.455826,91,26.317179
16.505089,29,26.407178
18.348732,54,26.563179
3.61264,14,26.607179
17.71203,39,26.725179
25.273565,46,26.865184
8.98601,19,26.932179
60.594185,108,27.247184
32.703907,62,27.440179
75.467674,128,27.750179
40.763657,128,27.891187
70.81542,128,28.015191
74.64548,128,28.136178
79.551735,128,28.26519
56.878414,128,28.398184
82.3119,128,28.541179
47.631218,128,28.686179
90.89133,128,28.809179
71.51237,128,28.941179
82.166565,107,29.324178
-0.20624042,3,29.329179
41.37196,57,29.529179
61.00083,80,29.782179
13.809763,30,29.865178
88.60625,128,30.255189
93.17873,128,30.646179
88.68851,128,31.042838
14.080772,40,31.165838
85.442696,110,31.532839
15.420588,36,31.661838
78.56688,128,32.153838
31.562344,57,32.358838
36.261475,67,32.556838
25.323349,62,32.781838
26.28938,42,32.930856
72.97656,128,33.360846
35.961918,128,33.509841
79.58369,128,33.648838
90.15438,128,33.784354
61.916042,128,33.910355
64.486725,128,34.035447
65.57825,128,34.17936
58.313602,128,34.320559
91.29918,128,34.450558
44.263172,128,34.580558
5.917674,18,34.655559
70.75399,118,35.076572
13.1911545,26,35.161559
64.83088,128,35.601559
54.967014,114,36.035567
81.471886,128,36.478557
50.386024,111,36.862558
18.188791,54,37.042558
15.92915,44,37.195557
54.43072,89,37.50956
53.864693,70,37.751567
41.821156,109,38.129558
45.969288,90,38.417559
54.080692,107,38.759558
54.314484,128,39.120558
73.37998,128,39.254558
84.26299,128,39.390558
58.86231,128,39.524558
53.526737,128,39.682559
66.60265,128,39.833559
61.39792,128,39.982562
41.656296,128,40.122619
52.12887,128,40.263561
71.88485,128,40.402565
21.718836,48,40.579559
40.215797,76,40.835939
74.59159,128,41.219943
44.157898,72,41.432942
49.165176,128,41.918802
85.50689,128,42.3268
82.978516,128,42.716802
77.44731,102,43.027811
22.153412,128,43.414804
58.49566,128,43.794801
1.7172737,7,43.813801
66.412674,128,44.1858
77.08008,128,44.5398
75.23153,128,44.665801
90.68659,128,44.7928
44.41451,128,44.9348
53.532825,128,45.089814
42.52681,128,45.230479
71.65427,128,45.35848
87.839836,128,45.48649
56.373894,128,45.607479
93.670876,128,45.731482
68.55824,128,46.14548
86.209496,125,46.55228
29.25355,63,46.754281
28.699993,97,47.103281
86.318794,128,47.532281
85.59407,114,47.953098
101.964676,128,48.319097
46.29288,80,48.563112
16.136364,24,48.640109
24.951355,88,48.893097
35.411674,96,49.177096
72.5608,128,49.535097
75.72233,128,49.925099
78.060555,128,50.0591
56.26224,128,50.183098
71.0738,128,50.307101
89.508156,128,50.431113
59.65,128,50.558097
48.081573,128,50.698114
32.311264,128,50.84087
75.7867,128,50.977869
60.337368,128,51.126869
47.323647,128,51.527869
101.85451,128,51.908871
56.490265,128,52.32926
78.54203,128,52.775259
78.948524,123,53.159261
88.7704,119,53.547017
36.400963,65,53.752016
79.56555,128,54.158015
75.893616,122,54.554283
58.25946,128,54.922293
73.945946,128,55.388856
56.002792,128,55.528858
60.41895,128,55.664858
68.519165,128,55.821856
39.57549,128,55.994863
66.15036,128,56.234857
68.48765,128,56.38996
77.84951,128,56.52496
37.997066,128,56.660959
61.72082,128,56.801958
58.766247,101,57.161413
87.08881,128,57.550413
68.99902,110,57.870412
39.21133,128,58.416229
56.764484,123,58.779129
54.227108,128,59.187865
75.28872,128,59.581863
82.70541,128,59.993864
2.0072248,5,60.007865
33.338978,70,60.229865
72.56237,128,60.672865
91.643295,128,61.135864
31.16992,128,61.271864
39.817394,128,61.419864
66.34803,128,61.560865
49.722996,128,61.702864
83.972305,128,61.843864
41.163563,128,61.988881
36.257828,128,62.128864
35.789993,128,62.261864
68.821655,128,62.385864
67.44438,128,62.820866
46.767246,128,63.267868
67.44792,128,63.745866
94.63232,128,64.189863
35.54872,81,64.451863
51.27088,128,64.82587
32.921776,128,65.239864
58.334454,128,65.63802
69.35632,128,66.00802
19.291761,69,66.20702
13.185573,27,66.28702
68.15491,128,66.651026
60.724125,128,66.775021
51.600925,128,66.89502
100.16307,128,67.022021
79.94073,128,67.177021
30.622023,128,67.321033
34.536076,128,67.443021
109.940414,128,67.56802
53.209972,128,67.69103
53.715195,128,67.821021
26.401396,128,68.22302
94.74543,128,68.70702
50.179993,120,69.12202
93.11609,128,69.57002
95.634964,128,69.99102
76.46308,128,70.413021
68.59631,128,70.852027
36.742973,128,71.29702
68.18139,128,71.702028
32.017445,128,72.172019
110.971954,128,72.360027
89.148415,128,72.510027
57.44825,128,72.65802
49.406403,128,72.82102
78.9169,128,72.958023
89.92576,128,73.104022
53.06997,128,73.246019
60.28672,128,73.38902
